s,Zeta Real,Zeta Imag
0.5+1023.7j,5.926366040710533,4.783168625650288
0.5+1023.8j,7.392750517842015,3.3358379299449403
0.5+1023.9j,8.278522643666069,1.4095308557472563
0.5+1024j,8.434288430615757,-0.7316128402356177
0.5+1024.1j,7.835076531711268,-2.7851104127724255
0.5+1024.2j,6.583704305262977,-4.468519734869141
0.5+1024.3j,4.88745569718515,-5.572291847535926
0.5+1024.4j,3.014223018520883,-5.9955236620517125
0.5+1024.5j,1.2387716060774057,-5.757709069824213
0.5+1024.6j,-0.2087408908820662,-4.985568135358034
0.5+1024.7j,-1.181415458489859,-3.8795878327422604
0.5+1024.8j,-1.6345605454218168,-2.6687493686831365
0.5+1024.9j,-1.6226915570288827,-1.5635159549818796
0.5+1025j,-1.2768187760600003,-0.7166495949978197
0.5+1025.1j,-0.7679188192901701,-0.1992813445549118
0.5+1025.2j,-0.2649288191762901,0.003638569363958466
0.5+1025.3j,0.10345009236740559,-0.021603199106179853
0.5+1025.4j,0.2746768934571776,-0.1478459557423105
0.5+1025.5j,0.26027899316438463,-0.24518043023511268
0.5+1025.6j,0.13431279933065154,-0.21717375430560168
0.5+1025.7j,0.005931774643269532,-0.025911475864466675
0.5+1025.8j,-0.016113511588492196,0.30045135141974016
0.5+1025.9j,0.1429331406227767,0.6790517503454634
0.5+1026j,0.5013590020717105,0.998672884436681
0.5+1026.1j,1.0153461906920598,1.153084367651338
0.5+1026.2j,1.5908632452329508,1.0718143144943626
0.5+1026.3j,2.1088699855163413,0.7401336044763084
0.5+1026.4j,2.456338492743958,0.20358370061257502
0.5+1026.5j,2.554704447578103,-0.443168134167472
0.5+1026.6j,2.378760708524009,-1.079384453672238
0.5+1026.7j,1.9619356027398587,-1.5869061858857698
0.5+1026.8j,1.387394863845803,-1.8772762763941744
0.5+1026.9j,0.7676502368800746,-1.9110239804448341
0.5+1027j,0.21781206784619014,-1.7048219825271231
0.5+1027.1j,-0.17104040998910905,-1.3250541294410934
0.5+1027.2j,-0.3519090917193135,-0.8694995296773155
0.5+1027.3j,-0.3303705391898116,-0.441772937669147
0.5+1027.4j,-0.15936513445773903,-0.12514735317474862
0.5+1027.5j,0.07824390587579627,0.03726226703223116
0.5+1027.6j,0.29441822530219297,0.05059460457767275
0.5+1027.7j,0.4209126994397245,-0.03743794172996038
0.5+1027.8j,0.42731615880907886,-0.15401704524586282
0.5+1027.9j,0.3271710990012996,-0.2250184095520575
0.5+1028j,0.17085854586345542,-0.19795598758103536
0.5+1028.1j,0.02789407941935199,-0.057418308357085106
0.5+1028.2j,-0.03576679664114755,0.17114436965611524
0.5+1028.3j,0.021295899233065182,0.4298786214086646
0.5+1028.4j,0.20256232639280475,0.6464073628144656
